user_id,anime_id,rating
1,20,-1
1,226,-1
1,355,-1
1,356,-1
1,2001,-1
1,2025,-1
1,2993,-1
1,4224,-1
1,4898,-1
1,6547,-1
1,8074,10
1,8525,-1
1,8841,-1
1,9041,-1
1,9919,-1
1,10719,-1
1,10793,-1
1,11617,10
1,11757,10
1,11759,-1
1,11771,-1
1,13759,-1
1,14813,-1
1,16498,-1
1,17265,-1
1,19815,-1
1,21881,-1
1,22199,-1
1,22319,-1
1,22535,-1
1,27899,-1
2,11771,10
3,20,8
3,199,10
3,225,9
3,430,7
3,813,10
3,1535,10
3,1689,8
3,3588,8
3,5114,10
3,6702,8
3,6880,6
3,8074,6
3,9919,8
3,9989,10
3,11111,8
3,11757,9
3,11759,7
3,11771,10
3,14345,8
3,16498,10
3,17265,7
3,19815,9
3,20507,8
3,21881,7
3,22199,8
3,22319,6
3,27899,8
3,30276,-1
4,6,-1
4,121,-1
4,205,-1
4,226,-1
4,1535,-1
4,2025,-1
4,2966,-1
4,2993,-1
4,3588,-1
4,6347,-1
4,6547,-1
4,6702,-1
4,8525,-1
4,9919,-1
4,10620,-1
4,11757,-1
4,16498,-1
4,17265,-1
4,18153,-1
4,18679,-1
5,6,8
5,20,6
5,30,1
5,199,8
5,205,8
5,223,6
5,225,1
5,269,3
5,813,5
5,1195,1
5,1535,4
5,1689,7
5,1840,1
5,1887,3
5,2236,8
5,2993,2
5,3588,5
5,4224,3
5,4654,6
5,5081,-1
5,5680,1
5,6347,1
5,6547,3
5,6702,4
5,6746,7
5,8074,2
5,8525,3
5,8769,1
5,8841,5
5,9041,2
5,9253,9
5,9919,4
5,9989,7
5,10719,7
5,11617,2
5,11757,1
5,11759,3
5,13759,3
5,14227,2
5,14741,4
5,14813,3
5,15809,7
5,17265,8
5,18153,5
5,19815,1
5,20507,6
5,22199,4
5,22319,2
5,22535,7
5,27899,2
6,20,-1
6,59,-1
6,1535,-1
6,1818,-1
6,6045,-1
6,6547,-1
6,6880,-1
6,7054,-1
6,8074,-1
6,8525,-1
6,10719,-1
7,30,10
7,59,7
7,121,8
7,223,9
7,225,7
7,270,9
7,813,9
7,849,7
7,934,9
7,1535,9
7,1575,9
7,1887,8
7,2167,9
7,2904,9
7,2993,7
7,4181,9
7,4382,4
7,4654,9
7,8525,8
7,8769,8
7,9041,8
7,9756,8
7,10620,8
7,10719,8
7,11617,6
7,11757,8
7,11759,8
7,14741,7
7,15809,7
7,17265,9
7,18153,8
7,18679,8
7,19815,10
7,20507,8
7,21881,6
7,30276,8
8,269,9
8,355,9
8,6702,10
8,10620,6
8,10793,10
8,11757,9
8,13759,9
9,1887,8
10,20,-1
10,1535,-1
10,5114,10
10,9253,-1
10,11757,9
10,16498,-1
10,21881,9
11,30,5
11,59,7
11,120,6
11,121,7
11,164,8
11,199,10
11,270,-1
11,430,6
11,431,8
11,523,8
11,853,7
11,934,8
11,2167,7
11,4181,8
11,4898,6
11,5114,8
11,9253,7
11,9756,7
11,11757,8
11,13601,8
11,16498,9
11,18153,9
11,18679,9
11,21881,8
11,30276,8
12,223,8
12,225,6
12,813,9
12,853,9
12,1535,10
12,1575,10
12,2025,9
12,2904,10
12,5114,9
12,8074,6
12,9253,10
12,11757,9
12,16498,10
13,1,-1
13,6,-1
13,30,-1
13,164,-1
13,199,-1
13,205,-1
13,227,-1
13,270,-1
13,431,-1
13,849,-1
13,889,-1
13,1535,-1
13,2001,-1
13,2236,-1
13,2251,-1
13,4898,-1
13,5081,-1
13,6347,-1
13,6746,-1
13,8074,-1
13,9253,-1
13,9756,-1
13,10087,-1
13,10793,-1
13,13601,-1
13,14345,-1
13,18679,-1
13,20507,-1
13,22319,-1
13,27899,-1
14,1195,6
14,1689,9
14,1840,7
14,2167,7
14,2993,6
14,4181,9
14,5081,9
14,6347,8
14,6547,9
14,8074,6
14,8525,8
14,8769,6
14,9041,7
14,9253,9
14,9919,6
14,10620,8
14,10793,8
14,11757,6
14,11771,7
14,14345,7
14,14813,8
14,15809,7
14,16498,8
14,17265,9
14,18153,7
14,19815,8
14,20507,8
15,10620,-1
16,226,-1
16,1535,9
16,2167,8
16,4181,9
16,6547,8
17,6,7
17,30,9
17,121,6
17,164,9
17,199,8
17,205,7
17,226,7
17,227,7
17,430,6
17,431,8
17,849,7
17,889,8
17,934,9
17,1535,10
17,1575,8
17,1689,9
17,2001,10
17,2167,9
17,2236,8
17,2251,9
17,2476,3
17,2904,8
17,4181,10
17,4224,7
17,4382,5
17,4654,8
17,4898,7
17,5081,8
17,5114,10
17,5680,6
17,6347,7
17,6547,9
17,6746,7
17,6880,5
17,8074,7
17,8525,8
17,8769,7
17,8841,6
17,9253,10
17,9756,9
17,9989,8
